	Косинусная мера	Идентификатор обращения	Ответ ЧАВО	Сообщение
58513	0.9034845123390134	00000000-0001-0000-0018-000110569710	В акции может принять участие любой совершеннолетний пользователь мобильного приложения «Газпромнефть», привязавший к приложению свою банковскую карту, зарегистрированную в Программе лояльности платежной системы «Мир».	В акции может принять участие любой совершеннолетний пользователь приложения АЗС.GO, привязавший к приложению свою банковскую карту, зарегистрированную в Программе лояльности платежной системы «Мир».
58532	0.8629361376376434	00000000-0001-0000-0018-000110569814	Как правило, при выполнении всех условий акции денежное вознаграждение зачисляется в течение 5 рабочих дней с момента проведения оплаты покупки по счету.	Как правило, денежное вознаграждение зачисляется в течение 3 рабочих дней с момента проведения оплаты покупки по счету.
58533	0.9727914366278566	00000000-0001-0000-0018-000110569814	Подробную историю операций, совершенных в рамках Программы лояльности «Мир», можно увидеть в Вашем личном кабинете, на сайте privetmir.ru в разделе «Начисления» и в разделе «Мой профиль».	Подробную историю операций, совершенных в рамках Программы лояльности «Мир», можно увидеть в Вашем личном кабинете на сайте privetmir.ru в разделе «Начисления» и в разделе «Мой профиль».
58542	0.9124967938715962	00000000-0001-0000-0018-000110569914	Остаток денежных средств, зарезервированных при оформлении заказа, будет разблокирован на Вашем счете. Обращаю Ваше внимание, что смс-оповещение о возврате средств может не прийти, так как был осуществлен процесс резервирования денег, но не оплаты. Сроки разблокировки денег необходимо уточнить в банке-эмитенте Вашей карты.	Остаток денежных средств, зарезервированных при оформлении заказа, будет разблокирован на Вашем счете. Обращаю Ваше внимание, что смс-оповещение о возврате средств может не прийти, так как был осуществлен процесс резервирования денег, но не оплаты. Сроки разблокировки денег необходимо уточнить в банке, выпустившей карту клиента.
58551	0.8629361376376434	00000000-0001-0000-0018-000110570103	Как правило, при выполнении всех условий акции денежное вознаграждение зачисляется в течение 5 рабочих дней с момента проведения оплаты покупки по счету.	Как правило, денежное вознаграждение зачисляется в течение 3 рабочих дней с момента проведения оплаты покупки по счету.
58552	0.9727914366278566	00000000-0001-0000-0018-000110570103	Подробную историю операций, совершенных в рамках Программы лояльности «Мир», можно увидеть в Вашем личном кабинете, на сайте privetmir.ru в разделе «Начисления» и в разделе «Мой профиль».	"Подробную историю операций, совершенных в рамках Программы лояльности «Мир», можно увидеть в Вашем личном кабинете на сайте privetmir.ru в разделе «Начисления» и в разделе «Мой профиль».

"
58569	0.9124967938715962	00000000-0001-0000-0018-000110570494	Остаток денежных средств, зарезервированных при оформлении заказа, будет разблокирован на Вашем счете. Обращаю Ваше внимание, что смс-оповещение о возврате средств может не прийти, так как был осуществлен процесс резервирования денег, но не оплаты. Сроки разблокировки денег необходимо уточнить в банке-эмитенте Вашей карты.	Остаток денежных средств, зарезервированных при оформлении заказа, будет разблокирован на Вашем счете. Обращаю Ваше внимание, что смс-оповещение о возврате средств может не прийти, так как был осуществлен процесс резервирования денег, но не оплаты. Сроки разблокировки денег необходимо уточнить в банке, выпустившей карту клиента.
58576	0.9124967938715962	00000000-0001-0000-0018-000110570589	Остаток денежных средств, зарезервированных при оформлении заказа, будет разблокирован на Вашем счете. Обращаю Ваше внимание, что смс-оповещение о возврате средств может не прийти, так как был осуществлен процесс резервирования денег, но не оплаты. Сроки разблокировки денег необходимо уточнить в банке-эмитенте Вашей карты.	"Остаток денежных средств, зарезервированных при оформлении заказа, будет разблокирован на Вашем счете. Обращаю Ваше внимание, что смс-оповещение о возврате средств может не прийти, так как был осуществлен процесс резервирования денег, но не оплаты. Сроки разблокировки денег необходимо уточнить в банке, выпустившей карту клиента.

"
58596	0.9276643664703523	00000000-0001-0000-0018-000110570818	"В МП принимаются банковские карты:  ●	Master Card ●	Master Card Electronic ●	Maestro ●	Visa ●	Visa Electron ●	UnionPay ●	Мир"	"В приложении к оплате принимаются банковские карты: 
●	Master Card
●	Master Card Electronic
●	Maestro
●	Visa
●	Visa Electron
●	UnionPay
●	Мир
"
58619	0.8629361376376434	00000000-0001-0000-0018-000110571076	Как правило, при выполнении всех условий акции денежное вознаграждение зачисляется в течение 5 рабочих дней с момента проведения оплаты покупки по счету.	Как правило, денежное вознаграждение зачисляется в течение 3 рабочих дней с момента проведения оплаты покупки по счету.
58620	0.9727914366278566	00000000-0001-0000-0018-000110571076	Подробную историю операций, совершенных в рамках Программы лояльности «Мир», можно увидеть в Вашем личном кабинете, на сайте privetmir.ru в разделе «Начисления» и в разделе «Мой профиль».	Подробную историю операций, совершенных в рамках Программы лояльности «Мир», можно увидеть в Вашем личном кабинете на сайте privetmir.ru в разделе «Начисления» и в разделе «Мой профиль».
58648	0.6146804622911209	00000000-0001-0000-0018-000110571660	Назовите, пожалуйста, номер Вашей бонусной карты, я проверю информацию	Сообщите, пожалуйста, номер Вашей бонусной карты без пробелов.
58695	0.6146804622911209	00000000-0001-0000-0018-000110573854	Назовите, пожалуйста, номер Вашей бонусной карты, я проверю информацию	Сообщите, пожалуйста, номер Вашей бонусной карты без пробелов.
58701	0.9542070090235402	00000000-0001-0000-0018-000110574446	Привязка банковской карты в профиле:  - на карте (в правом верхнем углу) входим в «профиль»  - в «профиле» выбираем «способы оплаты» - в «способы оплаты» нажимаем вкладку «добавить новую карту» - заполняем данные карты в форму - после чего банком будет произведена привязка карты. С вашего счета будет произведен тестовый платеж на сумму 1 рубль, который будет возвращен вам обратно на счет. - после привязки карты Вы увидите свою карту в разделе «способы оплаты», отличить ее сможете по значку платежной системы и последним 4 цифрам.	"Привязка банковской карты в профиле: 
- на карте (в правом верхнем углу) входим в «профиль» 
- в «профиле» выбираем «способы оплаты»
- в «способы оплаты» нажимаем вкладку «добавить новую карту»
- заполняем данные карты в форму
- после чего банком будет произведена привязка карты. С вашего счета будет произведен тестовый платеж на сумму 1 российский рубль, который будет возвращен вам обратно на счет.
- после привязки карты Вы увидите свою карту в разделе «способы оплаты», отличить ее сможете по значку платежной системы и последним 4 цифрам.
"
58709	0.6855856135188128	00000000-0001-0000-0018-000110574499	"Вам необходимо открепить карту от своего номера. Для этого необходимо направить заявление на открепление карты ОЗВУЧИТЬ НЕСКОЛЬКО ВАРИАНТОВ:•	через мессенджер Viber;•	через форму ОС на сайте gpnbonus.ru;•	с помощью онлайн консультанта на сайте;•	с помощью онлайн консультанта в МП;•	отправив заполненное заявление на адрес электронной почты hl@gpnbonus.ru;•	оставив письменное заявление оператору АЗС.В заявлении на открепление карты должны быть указан номер карты и Ваш номер телефона."	"Для того чтобы убрать старую неактивную карту из виджета в мобильном приложении, Вам необходимо объединить эту карту с новой, активной картой. Для этого необходимо направить заявление на объединение карт:
•         через мессенджер Viber;
•         через форму ОС на сайте gpnbonus.ru;
•         с помощью онлайн консультанта на сайте;
•         с помощью онлайн консультанта в МП;
•         отправив заполненное заявление на адрес электронной почты hl@gpnbonus.ru;
•         оставив письменное заявление оператору АЗС.

В заявлении на объединение карт должны быть указаны:
•         номера всех карт;
•         телефоны, к которым привязаны карты;
•         подпись.
"
58754	0.6967340780705021	00000000-0001-0000-0018-000110575249	"Вам необходимо открепить карту от своего номера. Для этого необходимо направить заявление на открепление карты ОЗВУЧИТЬ НЕСКОЛЬКО ВАРИАНТОВ:•	через мессенджер Viber;•	через форму ОС на сайте gpnbonus.ru;•	с помощью онлайн консультанта на сайте;•	с помощью онлайн консультанта в МП;•	отправив заполненное заявление на адрес электронной почты hl@gpnbonus.ru;•	оставив письменное заявление оператору АЗС.В заявлении на открепление карты должны быть указан номер карты и Ваш номер телефона."	"Для того чтобы убрать старую неактивную карту , Вам необходимо объединить эту карту с новой, активной картой. Для этого необходимо направить заявление на объединение карт:
•         через мессенджер Viber;
•         через форму ОС на сайте gpnbonus.ru;
•         с помощью онлайн консультанта на сайте;
•         с помощью онлайн консультанта в МП;
•         отправив заполненное заявление на адрес электронной почты hl@gpnbonus.ru;
•         оставив письменное заявление оператору АЗС.

В заявлении на объединение карт должны быть указаны:
•         номера всех карт;
•         телефоны, к которым привязаны карты;
•         подпись.
"
58816	0.7259474688828396	00000000-0001-0000-0018-000110575856	"Вам необходимо открепить карту от своего номера. Для этого необходимо направить заявление на открепление карты ОЗВУЧИТЬ НЕСКОЛЬКО ВАРИАНТОВ:•	через мессенджер Viber;•	через форму ОС на сайте gpnbonus.ru;•	с помощью онлайн консультанта на сайте;•	с помощью онлайн консультанта в МП;•	отправив заполненное заявление на адрес электронной почты hl@gpnbonus.ru;•	оставив письменное заявление оператору АЗС.В заявлении на открепление карты должны быть указан номер карты и Ваш номер телефона."	" Для этого необходимо направить заявление на объединение карт:
•         через мессенджер Viber;
•         через форму ОС на сайте gpnbonus.ru;
•         с помощью онлайн консультанта на сайте;
•         с помощью онлайн консультанта в МП;
•         отправив заполненное заявление на адрес электронной почты hl@gpnbonus.ru;
•         оставив письменное заявление оператору АЗС.

В заявлении на объединение карт должны быть указаны:
•         номера всех карт;
•         телефоны, к которым привязаны карты;
•         подпись.
"
58870	0.9587187398714785	00000000-0001-0000-0018-000110576273	"Мобильное приложение работает по системе «предоплата». Чтобы заправиться с помощью мобильного приложения АЗС GО: 1.	Остановитесь у свободной топливно-раздаточной колонки 2.	В приложении выберите АЗС, на которой находитесь. 3.	Укажите номер колонки, наименование топлива и объем 4.	Укажите эл. почту для получения чека об оплате 5.	Оплатите заказ 6.	Дождитесь завершения обработки заказа 7.	Не снимайте пистолет до указания помощника в приложении 8.	После одобрения помощником вставьте пистолет в бак автомобиля 9.	Дождитесь окончания заправки и верните пистолет в бак"	"Мобильное приложение работает по системе «предоплата». Чтобы заправиться с помощью мобильного приложения АЗС.GО:
1.	Остановитесь у свободной топливно-раздаточной колонки
2.	В приложении выберите АЗС, на которой находитесь.
3.	Укажите номер колонки, наименование топлива и объем
4.	Укажите эл. почту для получения чека об оплате
5.	Оплатите заказ
6.	Дождитесь завершения обработки заказа
7.	До указания помощника в приложении не снимать пистолет
8.	После одобрения помощником вставьте пистолет в бак автомобиля
9.	Дождитесь окончания заправки и верните пистолет в бак
"
59035	0.9124967938715962	00000000-0001-0000-0018-000110577461	Остаток денежных средств, зарезервированных при оформлении заказа, будет разблокирован на Вашем счете. Обращаю Ваше внимание, что смс-оповещение о возврате средств может не прийти, так как был осуществлен процесс резервирования денег, но не оплаты. Сроки разблокировки денег необходимо уточнить в банке-эмитенте Вашей карты.	Остаток денежных средств, зарезервированных при оформлении заказа, будет разблокирован на Вашем счете. Обращаю Ваше внимание, что смс-оповещение о возврате средств может не прийти, так как был осуществлен процесс резервирования денег, но не оплаты. Сроки разблокировки денег необходимо уточнить в банке, выпустившей карту клиента.
59109	0.8940606147644042	00000000-0001-0000-0018-000110577829	Остаток денежных средств, зарезервированных при оформлении заказа, будет разблокирован на Вашем счете. Обращаю Ваше внимание, что смс-оповещение о возврате средств может не прийти, так как был осуществлен процесс резервирования денег, но не оплаты. Сроки разблокировки денег необходимо уточнить в банке-эмитенте Вашей карты.	Спасибо за ожидание. Остаток денежных средств, зарезервированных при оформлении заказа, будет разблокирован на Вашем счете. Обращаю Ваше внимание, что смс-оповещение о возврате средств может не прийти, так как был осуществлен процесс резервирования денег, но не оплаты. Сроки разблокировки денег необходимо уточнить в банке, выпустившей карту клиента.
59125	0.9587187398714785	00000000-0001-0000-0018-000110577880	"Мобильное приложение работает по системе «предоплата». Чтобы заправиться с помощью мобильного приложения АЗС GО: 1.	Остановитесь у свободной топливно-раздаточной колонки 2.	В приложении выберите АЗС, на которой находитесь. 3.	Укажите номер колонки, наименование топлива и объем 4.	Укажите эл. почту для получения чека об оплате 5.	Оплатите заказ 6.	Дождитесь завершения обработки заказа 7.	Не снимайте пистолет до указания помощника в приложении 8.	После одобрения помощником вставьте пистолет в бак автомобиля 9.	Дождитесь окончания заправки и верните пистолет в бак"	"Мобильное приложение работает по системе «предоплата». Чтобы заправиться с помощью мобильного приложения АЗС.GО:
1.	Остановитесь у свободной топливно-раздаточной колонки
2.	В приложении выберите АЗС, на которой находитесь.
3.	Укажите номер колонки, наименование топлива и объем
4.	Укажите эл. почту для получения чека об оплате
5.	Оплатите заказ
6.	Дождитесь завершения обработки заказа
7.	До указания помощника в приложении не снимать пистолет
8.	После одобрения помощником вставьте пистолет в бак автомобиля
9.	Дождитесь окончания заправки и верните пистолет в бак
"
59151	0.8390564996672131	00000000-0001-0000-0018-000110578015	Если Вы используете две карты лояльности, теперь для удобства Вы можете добавить в Ваш аккаунт вторую бонусную карту, при этом обе карты должны быть привязаны к одному и тому же номеру телефона.	Вы можете добавить в Ваш аккаунт вторую бонусную карту, при этом обе карты должны быть привязаны к одному и тому же номеру телефона.
59160	0.7265454109817079	4e0aca36-69f6-4483-b7f5-6b0d7bb53289	В соответствии с условиями Программы лояльности, к одному номеру телефона может быть привязано не более двух бонусных карт, поэтому в приложение можно добавить не более двух карт.	Согласно правилам программы лояльности, к одному номеру телефона может быть привязано не более двух карт. 
59353	0.7294679876546373	00000000-0001-0000-0018-000110579171	"Вам необходимо открепить карту от своего номера. Для этого необходимо направить заявление на открепление карты ОЗВУЧИТЬ НЕСКОЛЬКО ВАРИАНТОВ:•	через мессенджер Viber;•	через форму ОС на сайте gpnbonus.ru;•	с помощью онлайн консультанта на сайте;•	с помощью онлайн консультанта в МП;•	отправив заполненное заявление на адрес электронной почты hl@gpnbonus.ru;•	оставив письменное заявление оператору АЗС.В заявлении на открепление карты должны быть указан номер карты и Ваш номер телефона."	"•         через форму ОС на сайте gpnbonus.ru;
•         отправив заполненное заявление на адрес электронной почты hl@gpnbonus.ru;
•         оставив письменное заявление оператору АЗС.
В заявлении на открепление карты должны быть указан номер картыы и Ваш номер телефона.

"
59367	0.9587187398714785	00000000-0001-0000-0018-000110579309	"Мобильное приложение работает по системе «предоплата». Чтобы заправиться с помощью мобильного приложения АЗС GО: 1.	Остановитесь у свободной топливно-раздаточной колонки 2.	В приложении выберите АЗС, на которой находитесь. 3.	Укажите номер колонки, наименование топлива и объем 4.	Укажите эл. почту для получения чека об оплате 5.	Оплатите заказ 6.	Дождитесь завершения обработки заказа 7.	Не снимайте пистолет до указания помощника в приложении 8.	После одобрения помощником вставьте пистолет в бак автомобиля 9.	Дождитесь окончания заправки и верните пистолет в бак"	"Мобильное приложение работает по системе «предоплата». Чтобы заправиться с помощью мобильного приложения АЗС.GО:
1.	Остановитесь у свободной топливно-раздаточной колонки
2.	В приложении выберите АЗС, на которой находитесь.
3.	Укажите номер колонки, наименование топлива и объем
4.	Укажите эл. почту для получения чека об оплате
5.	Оплатите заказ
6.	Дождитесь завершения обработки заказа
7.	До указания помощника в приложении не снимать пистолет
8.	После одобрения помощником вставьте пистолет в бак автомобиля
9.	Дождитесь окончания заправки и верните пистолет в бак
"
59445	0.9124967938715962	00000000-0001-0000-0018-000110580363	Остаток денежных средств, зарезервированных при оформлении заказа, будет разблокирован на Вашем счете. Обращаю Ваше внимание, что смс-оповещение о возврате средств может не прийти, так как был осуществлен процесс резервирования денег, но не оплаты. Сроки разблокировки денег необходимо уточнить в банке-эмитенте Вашей карты.	"Остаток денежных средств, зарезервированных при оформлении заказа, будет разблокирован на Вашем счете. Обращаю Ваше внимание, что смс-оповещение о возврате средств может не прийти, так как был осуществлен процесс резервирования денег, но не оплаты. Сроки разблокировки денег необходимо уточнить в банке, выпустившей карту клиента.

"
59509	0.8629361376376434	00000000-0001-0000-0018-000110581042	Как правило, при выполнении всех условий акции денежное вознаграждение зачисляется в течение 5 рабочих дней с момента проведения оплаты покупки по счету.	Как правило, денежное вознаграждение зачисляется в течение 3 рабочих дней с момента проведения оплаты покупки по счету.
59525	0.9587187398714785	00000000-0001-0000-0018-000110581196	"Мобильное приложение работает по системе «предоплата». Чтобы заправиться с помощью мобильного приложения АЗС GО: 1.	Остановитесь у свободной топливно-раздаточной колонки 2.	В приложении выберите АЗС, на которой находитесь. 3.	Укажите номер колонки, наименование топлива и объем 4.	Укажите эл. почту для получения чека об оплате 5.	Оплатите заказ 6.	Дождитесь завершения обработки заказа 7.	Не снимайте пистолет до указания помощника в приложении 8.	После одобрения помощником вставьте пистолет в бак автомобиля 9.	Дождитесь окончания заправки и верните пистолет в бак"	"Мобильное приложение работает по системе «предоплата». Чтобы заправиться с помощью мобильного приложения АЗС.GО:
1.	Остановитесь у свободной топливно-раздаточной колонки
2.	В приложении выберите АЗС, на которой находитесь.
3.	Укажите номер колонки, наименование топлива и объем
4.	Укажите эл. почту для получения чека об оплате
5.	Оплатите заказ
6.	Дождитесь завершения обработки заказа
7.	До указания помощника в приложении не снимать пистолет
8.	После одобрения помощником вставьте пистолет в бак автомобиля
9.	Дождитесь окончания заправки и верните пистолет в бак
"
59530	0.9528549616850509	00000000-0001-0000-0018-000110581215	"Мобильное приложение работает по системе «предоплата». Чтобы заправиться с помощью мобильного приложения АЗС GО: 1.	Остановитесь у свободной топливно-раздаточной колонки 2.	В приложении выберите АЗС, на которой находитесь. 3.	Укажите номер колонки, наименование топлива и объем 4.	Укажите эл. почту для получения чека об оплате 5.	Оплатите заказ 6.	Дождитесь завершения обработки заказа 7.	Не снимайте пистолет до указания помощника в приложении 8.	После одобрения помощником вставьте пистолет в бак автомобиля 9.	Дождитесь окончания заправки и верните пистолет в бак"	"Нет. Мобильное приложение работает по системе «предоплата». Чтобы заправиться с помощью мобильного приложения АЗС.GО:
1.	Остановитесь у свободной топливно-раздаточной колонки
2.	В приложении выберите АЗС, на которой находитесь.
3.	Укажите номер колонки, наименование топлива и объем
4.	Укажите эл. почту для получения чека об оплате
5.	Оплатите заказ
6.	Дождитесь завершения обработки заказа
7.	До указания помощника в приложении не снимать пистолет
8.	После одобрения помощником вставьте пистолет в бак автомобиля
9.	Дождитесь окончания заправки и верните пистолет в бак
"
59596	0.9344005695709554	00000000-0001-0000-0018-000110582803	Возможно, Вы сняли пистолет и начали заправку раньше, чем ваш заказ был подтвержден на АЗС. К сожалению, такой заказ можно оплатить только на кассе. Зарезервированные в мобильном приложении средства будут разблокированы на Вашем счете в течение суток. Если в течение суток этого не произошло, информацию необходимо уточнить в банке, выпустивший Вашу банковскую карту.	Возможно, Вы сняли пистолет и начали заправку раньше, чем ваш заказан был подтвержден на АЗС. К сожалению, такой заказ можно оплатить только на кассе. Зарезервированные в мобильном приложении средства будут разблокированы на Вашем счете в течение суток. Если в течение суток этого не произошло, информацию необходимо уточнить в банке, выпустивший Вашу банковскую карту.
59635	0.7501307463043961	00000000-0001-0000-0018-000110583211	Нет, акция проводится только для владельцев карт «Мир». Но вы можете открыть карту «Мир» и стать участником акции. Со списком банков, выпускающих карту «Мир», можно ознакомиться на сайте privetmir.ru.	Спасибо за ожидание. Акция проводится только для владельцев карт «Мир». Карта может быть любого российского банка. Со списком банков, выпускающих карту «Мир», можно ознакомиться на сайте privetmir.ru
59637	0.7080815462462265	00000000-0001-0000-0018-000110583265	Чек приходит на адрес электронной почты, указанный в Вашем профиле. Также Вы можете найти его в истории заказов.	Чек приходит только на адрес электронной почты, указанный в Вашем профиле. 
59647	0.9124967938715962	00000000-0001-0000-0018-000110583378	Остаток денежных средств, зарезервированных при оформлении заказа, будет разблокирован на Вашем счете. Обращаю Ваше внимание, что смс-оповещение о возврате средств может не прийти, так как был осуществлен процесс резервирования денег, но не оплаты. Сроки разблокировки денег необходимо уточнить в банке-эмитенте Вашей карты.	Остаток денежных средств, зарезервированных при оформлении заказа, будет разблокирован на Вашем счете. Обращаю Ваше внимание, что смс-оповещение о возврате средств может не прийти, так как был осуществлен процесс резервирования денег, но не оплаты. Сроки разблокировки денег необходимо уточнить в банке, выпустившей карту клиента.
59650	0.9566056493330918	00000000-0001-0000-0018-000110583411	Да, кэшбэк будет начислен. Дело в том, что система расчета может отпускать топливо на суммы только кратно литражу топлива. Минимальное количество топлива, которое может отпустить колонка, равна 10 мл, поэтому заливается литраж кратный 10мл. Также, программное обеспечение настроено таким образом, что заправка не может быть произведена на большую сумму, чем Вы оплатили.	Кэшбэк будет начислен. Дело в том, что система расчета может отпускать топливо на суммы только кратно литражу топлива. Минимальное количество топлива, которое может отпустить колонка, равна 10 мл, поэтому заливается литраж кратный 10мл. Также, программное обеспечение настроено таким образом, что заправка не может быть произведена на большую сумму, чем Вы оплатили.
59651	0.8629361376376434	00000000-0001-0000-0018-000110583411	Как правило, при выполнении всех условий акции денежное вознаграждение зачисляется в течение 5 рабочих дней с момента проведения оплаты покупки по счету.	"Как правило, денежное вознаграждение зачисляется в течение 3 рабочих дней с момента проведения оплаты покупки по счету.

"
59699	0.6146804622911209	00000000-0001-0000-0018-000110583818	Назовите, пожалуйста, номер Вашей бонусной карты, я проверю информацию	Сообщите, пожалуйста, номер Вашей бонусной карты без пробелов. 
59727	0.8072028434265155	00000000-0001-0000-0018-000110584292	Как правило, при выполнении всех условий акции денежное вознаграждение зачисляется в течение 5 рабочих дней с момента проведения оплаты покупки по счету.	Спасибо за ожидание. Как правило, денежное вознаграждение зачисляется в течение 3 рабочих дней с момента проведения оплаты покупки по счету.
59843	0.9186395636377581	00000000-0001-0000-0018-000110585542	Если Вы используете две карты лояльности, теперь для удобства Вы можете добавить в Ваш аккаунт вторую бонусную карту, при этом обе карты должны быть привязаны к одному и тому же номеру телефона.	Спасибо за ожидание. Если Вы используете две карты лояльности, теперь для удобства Вы можете добавить в Ваш аккаунт вторую бонусную карту, при этом обе карты должны быть привязаны к одному и тому же номеру телефона.
59888	0.9727914366278566	00000000-0001-0000-0018-000110586157	Подробную историю операций, совершенных в рамках Программы лояльности «Мир», можно увидеть в Вашем личном кабинете, на сайте privetmir.ru в разделе «Начисления» и в разделе «Мой профиль».	Подробную историю операций, совершенных в рамках Программы лояльности «Мир», можно увидеть в Вашем личном кабинете на сайте privetmir.ru в разделе «Начисления» и в разделе «Мой профиль».
59916	0.7831017846462207	00000000-0001-0000-0018-000110586599	Как правило, при выполнении всех условий акции денежное вознаграждение зачисляется в течение 5 рабочих дней с момента проведения оплаты покупки по счету.	"Как правило, денежное вознаграждение зачисляется на карту ""МИР"" в течение 3 рабочих дней с момента проведения оплаты покупки по счету."
59918	0.9727914366278566	00000000-0001-0000-0018-000110586599	Подробную историю операций, совершенных в рамках Программы лояльности «Мир», можно увидеть в Вашем личном кабинете, на сайте privetmir.ru в разделе «Начисления» и в разделе «Мой профиль».	Подробную историю операций, совершенных в рамках Программы лояльности «Мир», можно увидеть в Вашем личном кабинете на сайте privetmir.ru в разделе «Начисления» и в разделе «Мой профиль».
59931	0.8629361376376434	00000000-0001-0000-0018-000110586846	Как правило, при выполнении всех условий акции денежное вознаграждение зачисляется в течение 5 рабочих дней с момента проведения оплаты покупки по счету.	"Как правило, денежное вознаграждение зачисляется в течение 3 рабочих дней с момента проведения оплаты покупки по счету.

"
